Transient veri uretimi basliyor: 130 hasta x 2 doz (hedef 260 trajectory)...
  hasta=0 doz=0.100 -> 17 kare, truncated=False, 50.7sn
  hasta=17 doz=0.100 -> 17 kare, truncated=False, 60.5sn
  hasta=17 doz=1.000 -> 17 kare, truncated=False, 51.9sn
  hasta=18 doz=0.100 -> 17 kare, truncated=False, 52.2sn
  hasta=18 doz=1.000 -> 17 kare, truncated=False, 51.5sn
  hasta=19 doz=0.100 -> 17 kare, truncated=False, 53.2sn
  hasta=19 doz=1.000 -> 17 kare, truncated=False, 66.4sn
  hasta=20 doz=0.100 -> 17 kare, truncated=False, 50.6sn
  hasta=20 doz=1.000 -> 17 kare, truncated=False, 50.9sn
  hasta=21 doz=0.100 -> 17 kare, truncated=False, 50.4sn
  hasta=21 doz=1.000 -> 17 kare, truncated=False, 50.6sn
  hasta=22 doz=0.100 -> 17 kare, truncated=False, 53.3sn
  hasta=22 doz=1.000 -> 17 kare, truncated=False, 53.2sn
  hasta=23 doz=0.100 -> 17 kare, truncated=False, 62.7sn
  hasta=23 doz=1.000 -> 17 kare, truncated=False, 54.7sn
  hasta=24 doz=0.100 -> 17 kare, truncated=False, 52.4sn
  hasta=24 doz=1.000 -> 17 kare, truncated=False, 51.3sn
  hasta=25 doz=0.100 -> 17 kare, truncated=False, 51.7sn
  hasta=25 doz=1.000 -> 17 kare, truncated=False, 59.5sn
  hasta=26 doz=0.100 -> 17 kare, truncated=False, 51.5sn
  hasta=26 doz=1.000 -> 17 kare, truncated=False, 51.6sn
  hasta=27 doz=0.100 -> 17 kare, truncated=False, 53.7sn
  hasta=27 doz=1.000 -> 17 kare, truncated=False, 54.1sn
  hasta=28 doz=0.100 -> 17 kare, truncated=False, 50.7sn
  hasta=28 doz=1.000 -> 17 kare, truncated=False, 51.8sn
  hasta=29 doz=0.100 -> 17 kare, truncated=False, 54.0sn
  hasta=29 doz=1.000 -> 17 kare, truncated=False, 50.7sn
  hasta=30 doz=0.100 -> 17 kare, truncated=False, 52.8sn
  hasta=30 doz=1.000 -> 17 kare, truncated=False, 60.5sn
  hasta=31 doz=0.100 -> 17 kare, truncated=False, 50.1sn
  hasta=31 doz=1.000 -> 17 kare, truncated=False, 50.1sn
  hasta=32 doz=0.100 -> 17 kare, truncated=False, 50.2sn
  hasta=32 doz=1.000 -> 17 kare, truncated=False, 50.2sn
  hasta=33 doz=0.100 -> 17 kare, truncated=False, 53.3sn
  hasta=33 doz=1.000 -> 17 kare, truncated=False, 54.7sn
  hasta=34 doz=0.100 -> 17 kare, truncated=False, 63.8sn
  hasta=34 doz=1.000 -> 17 kare, truncated=False, 50.4sn
  hasta=35 doz=0.100 -> 17 kare, truncated=False, 51.3sn
  hasta=35 doz=1.000 -> 17 kare, truncated=False, 51.6sn
  hasta=36 doz=0.100 -> 17 kare, truncated=False, 50.3sn
  hasta=36 doz=1.000 -> 17 kare, truncated=False, 50.3sn
  hasta=37 doz=0.100 -> 17 kare, truncated=False, 51.0sn
  hasta=37 doz=1.000 -> 17 kare, truncated=False, 55.8sn
  hasta=38 doz=0.100 -> 17 kare, truncated=False, 50.9sn
  hasta=38 doz=1.000 -> 17 kare, truncated=False, 50.9sn
  hasta=39 doz=0.100 -> 17 kare, truncated=False, 51.9sn
  hasta=39 doz=1.000 -> 17 kare, truncated=False, 51.8sn
  hasta=40 doz=0.100 -> 17 kare, truncated=False, 50.9sn
  hasta=40 doz=1.000 -> 17 kare, truncated=False, 50.9sn
  hasta=41 doz=0.100 -> 17 kare, truncated=False, 49.9sn
  hasta=41 doz=1.000 -> 17 kare, truncated=False, 49.7sn
  hasta=42 doz=0.100 -> 17 kare, truncated=False, 53.2sn
  hasta=42 doz=1.000 -> 17 kare, truncated=False, 53.2sn
  hasta=43 doz=0.100 -> 17 kare, truncated=False, 51.0sn
  hasta=43 doz=1.000 -> 17 kare, truncated=False, 50.9sn
  hasta=44 doz=0.100 -> 17 kare, truncated=False, 54.4sn
  hasta=44 doz=1.000 -> 17 kare, truncated=False, 54.6sn
  hasta=45 doz=0.100 -> 17 kare, truncated=False, 50.6sn
  hasta=45 doz=1.000 -> 17 kare, truncated=False, 50.8sn
  hasta=46 doz=0.100 -> 17 kare, truncated=False, 59.2sn
  hasta=46 doz=1.000 -> 17 kare, truncated=False, 50.0sn
  hasta=47 doz=0.100 -> 17 kare, truncated=False, 51.8sn
  hasta=47 doz=1.000 -> 17 kare, truncated=False, 51.8sn
  hasta=48 doz=0.100 -> 17 kare, truncated=False, 50.5sn
  hasta=48 doz=1.000 -> 17 kare, truncated=False, 50.6sn
  hasta=49 doz=0.100 -> 17 kare, truncated=False, 50.4sn
  hasta=49 doz=1.000 -> 17 kare, truncated=False, 50.4sn
  hasta=50 doz=0.100 -> 17 kare, truncated=False, 50.6sn
  hasta=50 doz=1.000 -> 17 kare, truncated=False, 50.7sn
  hasta=51 doz=0.100 -> 17 kare, truncated=False, 51.0sn
  hasta=51 doz=1.000 -> 17 kare, truncated=False, 51.0sn
  hasta=52 doz=0.100 -> 17 kare, truncated=False, 54.0sn
  hasta=52 doz=1.000 -> 17 kare, truncated=False, 54.6sn
  hasta=53 doz=0.100 -> 17 kare, truncated=False, 52.1sn
  hasta=53 doz=1.000 -> 17 kare, truncated=False, 50.5sn
  hasta=54 doz=0.100 -> 17 kare, truncated=False, 51.1sn
  hasta=54 doz=1.000 -> 17 kare, truncated=False, 69.1sn
  hasta=55 doz=0.100 -> 17 kare, truncated=False, 50.3sn
  hasta=55 doz=1.000 -> 17 kare, truncated=False, 50.3sn
  hasta=56 doz=0.100 -> 17 kare, truncated=False, 52.2sn
  hasta=56 doz=1.000 -> 17 kare, truncated=False, 51.7sn
  hasta=57 doz=0.100 -> 17 kare, truncated=False, 50.4sn
  hasta=57 doz=1.000 -> 17 kare, truncated=False, 50.2sn
  hasta=58 doz=0.100 -> 17 kare, truncated=False, 50.3sn
  hasta=58 doz=1.000 -> 17 kare, truncated=False, 50.3sn
  hasta=59 doz=0.100 -> 17 kare, truncated=False, 50.4sn
  hasta=59 doz=1.000 -> 17 kare, truncated=False, 49.8sn
  hasta=60 doz=0.100 -> 17 kare, truncated=False, 50.5sn
  hasta=60 doz=1.000 -> 17 kare, truncated=False, 50.7sn
  hasta=61 doz=0.100 -> 17 kare, truncated=False, 50.5sn
  hasta=61 doz=1.000 -> 17 kare, truncated=False, 50.6sn
  hasta=62 doz=0.100 -> 17 kare, truncated=False, 53.9sn
  hasta=62 doz=1.000 -> 17 kare, truncated=False, 53.2sn
  hasta=63 doz=0.100 -> 17 kare, truncated=False, 53.8sn
  hasta=63 doz=1.000 -> 17 kare, truncated=False, 54.1sn
  hasta=64 doz=0.100 -> 17 kare, truncated=False, 51.3sn
  hasta=64 doz=1.000 -> 17 kare, truncated=False, 51.1sn
  hasta=65 doz=0.100 -> 17 kare, truncated=False, 50.7sn
  hasta=65 doz=1.000 -> 17 kare, truncated=False, 51.4sn
  hasta=66 doz=0.100 -> 17 kare, truncated=False, 51.0sn
  hasta=66 doz=1.000 -> 17 kare, truncated=False, 52.2sn
  hasta=67 doz=0.100 -> 17 kare, truncated=False, 68.0sn
  hasta=67 doz=1.000 -> 17 kare, truncated=False, 51.1sn
  hasta=68 doz=0.100 -> 17 kare, truncated=False, 50.6sn
  hasta=68 doz=1.000 -> 17 kare, truncated=False, 50.9sn
  hasta=69 doz=0.100 -> 17 kare, truncated=False, 54.8sn
  hasta=69 doz=1.000 -> 17 kare, truncated=False, 55.0sn
  hasta=70 doz=0.100 -> 17 kare, truncated=False, 51.0sn
  hasta=70 doz=1.000 -> 17 kare, truncated=False, 51.0sn
  hasta=71 doz=0.100 -> 17 kare, truncated=False, 52.5sn
  hasta=71 doz=1.000 -> 17 kare, truncated=False, 51.0sn
  hasta=72 doz=0.100 -> 17 kare, truncated=False, 50.4sn
  hasta=72 doz=1.000 -> 17 kare, truncated=False, 50.6sn
  hasta=73 doz=0.100 -> 17 kare, truncated=False, 53.2sn
  hasta=73 doz=1.000 -> 17 kare, truncated=False, 53.6sn
  hasta=74 doz=0.100 -> 17 kare, truncated=False, 53.1sn
  hasta=74 doz=1.000 -> 17 kare, truncated=False, 51.7sn
  hasta=75 doz=0.100 -> 17 kare, truncated=False, 52.7sn
  hasta=75 doz=1.000 -> 17 kare, truncated=False, 78.4sn
  hasta=76 doz=0.100 -> 17 kare, truncated=False, 50.5sn
  hasta=76 doz=1.000 -> 17 kare, truncated=False, 50.4sn
  hasta=77 doz=0.100 -> 17 kare, truncated=False, 50.4sn
  hasta=77 doz=1.000 -> 17 kare, truncated=False, 50.5sn
  hasta=78 doz=0.100 -> 17 kare, truncated=False, 50.5sn
  hasta=78 doz=1.000 -> 17 kare, truncated=False, 50.6sn
  hasta=79 doz=0.100 -> 17 kare, truncated=False, 51.5sn
  hasta=79 doz=1.000 -> 17 kare, truncated=False, 51.8sn
  hasta=80 doz=0.100 -> 17 kare, truncated=False, 50.5sn
  hasta=80 doz=1.000 -> 17 kare, truncated=False, 50.5sn
  hasta=81 doz=0.100 -> 17 kare, truncated=False, 50.5sn
  hasta=81 doz=1.000 -> 17 kare, truncated=False, 49.9sn
  hasta=82 doz=0.100 -> 17 kare, truncated=False, 53.7sn
  hasta=82 doz=1.000 -> 17 kare, truncated=False, 52.8sn
  hasta=83 doz=0.100 -> 17 kare, truncated=False, 50.7sn
  hasta=83 doz=1.000 -> 17 kare, truncated=False, 50.2sn
  hasta=84 doz=0.100 -> 17 kare, truncated=False, 52.1sn
  hasta=84 doz=1.000 -> 17 kare, truncated=False, 51.8sn
  hasta=85 doz=0.100 -> 17 kare, truncated=False, 50.6sn
  hasta=85 doz=1.000 -> 17 kare, truncated=False, 50.6sn
  hasta=86 doz=0.100 -> 17 kare, truncated=False, 51.3sn
  hasta=86 doz=1.000 -> 17 kare, truncated=False, 51.5sn
  hasta=87 doz=0.100 -> 17 kare, truncated=False, 53.5sn
  hasta=87 doz=1.000 -> 17 kare, truncated=False, 53.5sn
  hasta=88 doz=0.100 -> 17 kare, truncated=False, 50.2sn
  hasta=88 doz=1.000 -> 17 kare, truncated=False, 50.6sn
  hasta=89 doz=0.100 -> 17 kare, truncated=False, 54.7sn
  hasta=89 doz=1.000 -> 17 kare, truncated=False, 55.9sn
  hasta=90 doz=0.100 -> 17 kare, truncated=False, 54.2sn
  hasta=90 doz=1.000 -> 17 kare, truncated=False, 54.9sn
  hasta=91 doz=0.100 -> 17 kare, truncated=False, 59.3sn
  hasta=91 doz=1.000 -> 17 kare, truncated=False, 52.3sn
  hasta=92 doz=0.100 -> 17 kare, truncated=False, 50.6sn
  hasta=92 doz=1.000 -> 17 kare, truncated=False, 51.0sn
  hasta=93 doz=0.100 -> 17 kare, truncated=False, 50.1sn
  hasta=93 doz=1.000 -> 17 kare, truncated=False, 50.2sn
  hasta=94 doz=0.100 -> 17 kare, truncated=False, 51.4sn
  hasta=94 doz=1.000 -> 17 kare, truncated=False, 51.6sn
  hasta=95 doz=0.100 -> 17 kare, truncated=False, 50.6sn
  hasta=95 doz=1.000 -> 17 kare, truncated=False, 50.5sn
  hasta=96 doz=0.100 -> 17 kare, truncated=False, 51.5sn
  hasta=96 doz=1.000 -> 17 kare, truncated=False, 50.9sn
  hasta=97 doz=0.100 -> 17 kare, truncated=False, 50.1sn
  hasta=97 doz=1.000 -> 17 kare, truncated=False, 50.1sn
  hasta=98 doz=0.100 -> 17 kare, truncated=False, 50.3sn
  hasta=98 doz=1.000 -> 17 kare, truncated=False, 50.4sn
  hasta=99 doz=0.100 -> 17 kare, truncated=False, 50.5sn
  hasta=99 doz=1.000 -> 17 kare, truncated=False, 50.7sn
  hasta=100 doz=0.100 -> 17 kare, truncated=False, 52.9sn
  hasta=100 doz=1.000 -> 17 kare, truncated=False, 52.9sn
  hasta=101 doz=0.100 -> 17 kare, truncated=False, 50.3sn
  hasta=101 doz=1.000 -> 17 kare, truncated=False, 50.4sn
  hasta=102 doz=0.100 -> 17 kare, truncated=False, 52.2sn
  hasta=102 doz=1.000 -> 17 kare, truncated=False, 52.5sn
  hasta=103 doz=0.100 -> 17 kare, truncated=False, 54.4sn
  hasta=103 doz=1.000 -> 17 kare, truncated=False, 53.2sn
  hasta=104 doz=0.100 -> 17 kare, truncated=False, 53.0sn
  hasta=104 doz=1.000 -> 17 kare, truncated=False, 53.1sn
  hasta=105 doz=0.100 -> 17 kare, truncated=False, 50.5sn
  hasta=105 doz=1.000 -> 17 kare, truncated=False, 50.7sn
  hasta=106 doz=0.100 -> 17 kare, truncated=False, 53.9sn
  hasta=106 doz=1.000 -> 17 kare, truncated=False, 53.9sn
  hasta=107 doz=0.100 -> 17 kare, truncated=False, 51.1sn
  hasta=107 doz=1.000 -> 17 kare, truncated=False, 51.3sn
  hasta=108 doz=0.100 -> 17 kare, truncated=False, 50.7sn
  hasta=108 doz=1.000 -> 17 kare, truncated=False, 50.4sn
  hasta=109 doz=0.100 -> 17 kare, truncated=False, 51.0sn
  hasta=109 doz=1.000 -> 17 kare, truncated=False, 51.1sn
  hasta=110 doz=0.100 -> 17 kare, truncated=False, 50.2sn
  hasta=110 doz=1.000 -> 17 kare, truncated=False, 50.0sn
  hasta=111 doz=0.100 -> 17 kare, truncated=False, 50.7sn
  hasta=111 doz=1.000 -> 17 kare, truncated=False, 51.4sn
  hasta=112 doz=0.100 -> 17 kare, truncated=False, 55.1sn
  hasta=112 doz=1.000 -> 17 kare, truncated=False, 52.3sn
  hasta=113 doz=0.100 -> 17 kare, truncated=False, 50.2sn
  hasta=113 doz=1.000 -> 17 kare, truncated=False, 49.8sn
  hasta=114 doz=0.100 -> 17 kare, truncated=False, 50.0sn
  hasta=114 doz=1.000 -> 17 kare, truncated=False, 50.2sn
  hasta=115 doz=0.100 -> 17 kare, truncated=False, 50.0sn
  hasta=115 doz=1.000 -> 17 kare, truncated=False, 50.1sn
  hasta=116 doz=0.100 -> 17 kare, truncated=False, 50.8sn
  hasta=116 doz=1.000 -> 17 kare, truncated=False, 50.5sn
  hasta=117 doz=0.100 -> 17 kare, truncated=False, 54.7sn
  hasta=117 doz=1.000 -> 17 kare, truncated=False, 54.5sn
  hasta=118 doz=0.100 -> 17 kare, truncated=False, 49.9sn
  hasta=118 doz=1.000 -> 17 kare, truncated=False, 49.8sn
  hasta=119 doz=0.100 -> 17 kare, truncated=False, 52.2sn
  hasta=119 doz=1.000 -> 17 kare, truncated=False, 51.8sn
  hasta=120 doz=0.100 -> 17 kare, truncated=False, 50.0sn
  hasta=120 doz=1.000 -> 17 kare, truncated=False, 50.3sn
  hasta=121 doz=0.100 -> 17 kare, truncated=False, 50.4sn
  hasta=121 doz=1.000 -> 17 kare, truncated=False, 50.1sn
  hasta=122 doz=0.100 -> 17 kare, truncated=False, 51.8sn
  hasta=122 doz=1.000 -> 17 kare, truncated=False, 52.0sn
  hasta=123 doz=0.100 -> 17 kare, truncated=False, 50.6sn
  hasta=123 doz=1.000 -> 17 kare, truncated=False, 50.4sn
  hasta=124 doz=0.100 -> 17 kare, truncated=False, 50.4sn
  hasta=124 doz=1.000 -> 17 kare, truncated=False, 50.5sn
  hasta=125 doz=0.100 -> 17 kare, truncated=False, 51.7sn
  hasta=125 doz=1.000 -> 17 kare, truncated=False, 52.1sn
  hasta=126 doz=0.100 -> 17 kare, truncated=False, 51.0sn
  hasta=126 doz=1.000 -> 17 kare, truncated=False, 51.2sn
  hasta=127 doz=0.100 -> 17 kare, truncated=False, 52.1sn
  hasta=127 doz=1.000 -> 17 kare, truncated=False, 52.4sn
  hasta=128 doz=0.100 -> 17 kare, truncated=False, 52.4sn
  hasta=128 doz=1.000 -> 17 kare, truncated=False, 53.4sn
  hasta=129 doz=0.100 -> 17 kare, truncated=False, 59.4sn
  hasta=129 doz=1.000 -> 17 kare, truncated=False, 54.5sn

Tamamlandi (227.5 dakika).
  Toplam trajectory: 260
  Kesilen (truncated) trajectory: 0
  Toplam kare (satir): 4420
  Kaydedildi: data/transient_dataset_large
