[2026-07-30 20:35:04] Buyuk koÅŸum basliyor: 780 hasta x 2 doz = 1560 trajectory hedefi (40dk pencere, 6 process)
  [64/1560] trajectory_id=62 hasta=31 doz=0.100 -> 17 kare, truncated=False
  [65/1560] trajectory_id=63 hasta=31 doz=1.000 -> 17 kare, truncated=False
  [66/1560] trajectory_id=65 hasta=32 doz=1.000 -> 17 kare, truncated=False
  [67/1560] trajectory_id=67 hasta=33 doz=1.000 -> 17 kare, truncated=False
  [68/1560] trajectory_id=66 hasta=33 doz=0.100 -> 17 kare, truncated=False
  [69/1560] trajectory_id=69 hasta=34 doz=1.000 -> 17 kare, truncated=False
  [70/1560] trajectory_id=68 hasta=34 doz=0.100 -> 17 kare, truncated=False
  [71/1560] trajectory_id=70 hasta=35 doz=0.100 -> 17 kare, truncated=False
  [72/1560] trajectory_id=71 hasta=35 doz=1.000 -> 17 kare, truncated=False
  [73/1560] trajectory_id=72 hasta=36 doz=0.100 -> 17 kare, truncated=False
  [74/1560] trajectory_id=73 hasta=36 doz=1.000 -> 17 kare, truncated=False
  [75/1560] trajectory_id=74 hasta=37 doz=0.100 -> 17 kare, truncated=False
  [76/1560] trajectory_id=75 hasta=37 doz=1.000 -> 17 kare, truncated=False
  [77/1560] trajectory_id=77 hasta=38 doz=1.000 -> 17 kare, truncated=False
  [78/1560] trajectory_id=76 hasta=38 doz=0.100 -> 17 kare, truncated=False
  [79/1560] trajectory_id=78 hasta=39 doz=0.100 -> 17 kare, truncated=False
  [80/1560] trajectory_id=79 hasta=39 doz=1.000 -> 17 kare, truncated=False
  [81/1560] trajectory_id=80 hasta=40 doz=0.100 -> 17 kare, truncated=False
  [82/1560] trajectory_id=81 hasta=40 doz=1.000 -> 17 kare, truncated=False
  [83/1560] trajectory_id=83 hasta=41 doz=1.000 -> 17 kare, truncated=False
  [84/1560] trajectory_id=82 hasta=41 doz=0.100 -> 17 kare, truncated=False
  [85/1560] trajectory_id=85 hasta=42 doz=1.000 -> 17 kare, truncated=False
  [86/1560] trajectory_id=84 hasta=42 doz=0.100 -> 17 kare, truncated=False
  [87/1560] trajectory_id=86 hasta=43 doz=0.100 -> 17 kare, truncated=False
  [88/1560] trajectory_id=88 hasta=44 doz=0.100 -> 17 kare, truncated=False
  [89/1560] trajectory_id=89 hasta=44 doz=1.000 -> 17 kare, truncated=False
  [90/1560] trajectory_id=87 hasta=43 doz=1.000 -> 17 kare, truncated=False
  [91/1560] trajectory_id=90 hasta=45 doz=0.100 -> 17 kare, truncated=False
  [92/1560] trajectory_id=92 hasta=46 doz=0.100 -> 17 kare, truncated=False
  [93/1560] trajectory_id=93 hasta=46 doz=1.000 -> 17 kare, truncated=False
  [94/1560] trajectory_id=94 hasta=47 doz=0.100 -> 17 kare, truncated=False
  [95/1560] trajectory_id=91 hasta=45 doz=1.000 -> 17 kare, truncated=False
  [96/1560] trajectory_id=95 hasta=47 doz=1.000 -> 17 kare, truncated=False
  [97/1560] trajectory_id=96 hasta=48 doz=0.100 -> 17 kare, truncated=False
  [98/1560] trajectory_id=97 hasta=48 doz=1.000 -> 17 kare, truncated=False
  [99/1560] trajectory_id=98 hasta=49 doz=0.100 -> 17 kare, truncated=False
  [100/1560] trajectory_id=99 hasta=49 doz=1.000 -> 17 kare, truncated=False
[2026-07-30 20:56:30] 100/1560 trajectory tamamlandý (geçen süre 21.4 dk, tahmini kalan süre 312.5 dk)
  [101/1560] trajectory_id=101 hasta=50 doz=1.000 -> 17 kare, truncated=False
  [102/1560] trajectory_id=100 hasta=50 doz=0.100 -> 17 kare, truncated=False
  [103/1560] trajectory_id=103 hasta=51 doz=1.000 -> 17 kare, truncated=False
  [104/1560] trajectory_id=102 hasta=51 doz=0.100 -> 17 kare, truncated=False
  [105/1560] trajectory_id=106 hasta=53 doz=0.100 -> 17 kare, truncated=False
  [106/1560] trajectory_id=107 hasta=53 doz=1.000 -> 17 kare, truncated=False
  [107/1560] trajectory_id=105 hasta=52 doz=1.000 -> 17 kare, truncated=False
  [108/1560] trajectory_id=104 hasta=52 doz=0.100 -> 17 kare, truncated=False
  [109/1560] trajectory_id=108 hasta=54 doz=0.100 -> 17 kare, truncated=False
  [110/1560] trajectory_id=109 hasta=54 doz=1.000 -> 17 kare, truncated=False
  [111/1560] trajectory_id=110 hasta=55 doz=0.100 -> 17 kare, truncated=False
  [112/1560] trajectory_id=111 hasta=55 doz=1.000 -> 17 kare, truncated=False
  [113/1560] trajectory_id=112 hasta=56 doz=0.100 -> 17 kare, truncated=False
  [114/1560] trajectory_id=113 hasta=56 doz=1.000 -> 17 kare, truncated=False
  [115/1560] trajectory_id=115 hasta=57 doz=1.000 -> 17 kare, truncated=False
  [116/1560] trajectory_id=114 hasta=57 doz=0.100 -> 17 kare, truncated=False
  [117/1560] trajectory_id=116 hasta=58 doz=0.100 -> 17 kare, truncated=False
  [118/1560] trajectory_id=119 hasta=59 doz=1.000 -> 17 kare, truncated=False
  [119/1560] trajectory_id=117 hasta=58 doz=1.000 -> 17 kare, truncated=False
  [120/1560] trajectory_id=118 hasta=59 doz=0.100 -> 17 kare, truncated=False
  [121/1560] trajectory_id=120 hasta=60 doz=0.100 -> 17 kare, truncated=False
  [122/1560] trajectory_id=121 hasta=60 doz=1.000 -> 17 kare, truncated=False
  [123/1560] trajectory_id=122 hasta=61 doz=0.100 -> 17 kare, truncated=False
  [124/1560] trajectory_id=123 hasta=61 doz=1.000 -> 17 kare, truncated=False
  [125/1560] trajectory_id=124 hasta=62 doz=0.100 -> 17 kare, truncated=False
  [126/1560] trajectory_id=125 hasta=62 doz=1.000 -> 17 kare, truncated=False
  [127/1560] trajectory_id=126 hasta=63 doz=0.100 -> 17 kare, truncated=False
  [128/1560] trajectory_id=127 hasta=63 doz=1.000 -> 17 kare, truncated=False
  [129/1560] trajectory_id=128 hasta=64 doz=0.100 -> 17 kare, truncated=False
  [130/1560] trajectory_id=129 hasta=64 doz=1.000 -> 17 kare, truncated=False
  [131/1560] trajectory_id=130 hasta=65 doz=0.100 -> 17 kare, truncated=False
  [132/1560] trajectory_id=131 hasta=65 doz=1.000 -> 17 kare, truncated=False
  [133/1560] trajectory_id=132 hasta=66 doz=0.100 -> 17 kare, truncated=False
  [134/1560] trajectory_id=133 hasta=66 doz=1.000 -> 17 kare, truncated=False
  [135/1560] trajectory_id=134 hasta=67 doz=0.100 -> 17 kare, truncated=False
  [136/1560] trajectory_id=136 hasta=68 doz=0.100 -> 17 kare, truncated=False
  [137/1560] trajectory_id=135 hasta=67 doz=1.000 -> 17 kare, truncated=False
  [138/1560] trajectory_id=137 hasta=68 doz=1.000 -> 17 kare, truncated=False
  [139/1560] trajectory_id=138 hasta=69 doz=0.100 -> 17 kare, truncated=False
  [140/1560] trajectory_id=139 hasta=69 doz=1.000 -> 17 kare, truncated=False
  [141/1560] trajectory_id=140 hasta=70 doz=0.100 -> 17 kare, truncated=False
  [142/1560] trajectory_id=141 hasta=70 doz=1.000 -> 17 kare, truncated=False
  [143/1560] trajectory_id=142 hasta=71 doz=0.100 -> 17 kare, truncated=False
  [144/1560] trajectory_id=143 hasta=71 doz=1.000 -> 17 kare, truncated=False
  [145/1560] trajectory_id=144 hasta=72 doz=0.100 -> 17 kare, truncated=False
  [146/1560] trajectory_id=145 hasta=72 doz=1.000 -> 17 kare, truncated=False
  [147/1560] trajectory_id=146 hasta=73 doz=0.100 -> 17 kare, truncated=False
  [148/1560] trajectory_id=147 hasta=73 doz=1.000 -> 17 kare, truncated=False
  [149/1560] trajectory_id=148 hasta=74 doz=0.100 -> 17 kare, truncated=False
  [150/1560] trajectory_id=149 hasta=74 doz=1.000 -> 17 kare, truncated=False
[2026-07-30 21:09:57] 150/1560 trajectory tamamlandý (geçen süre 34.9 dk, tahmini kalan süre 327.7 dk)
  [151/1560] trajectory_id=150 hasta=75 doz=0.100 -> 17 kare, truncated=False
  [152/1560] trajectory_id=151 hasta=75 doz=1.000 -> 17 kare, truncated=False
  [153/1560] trajectory_id=152 hasta=76 doz=0.100 -> 17 kare, truncated=False
  [154/1560] trajectory_id=153 hasta=76 doz=1.000 -> 17 kare, truncated=False
  [155/1560] trajectory_id=154 hasta=77 doz=0.100 -> 17 kare, truncated=False
  [156/1560] trajectory_id=155 hasta=77 doz=1.000 -> 17 kare, truncated=False
  [157/1560] trajectory_id=156 hasta=78 doz=0.100 -> 17 kare, truncated=False
  [158/1560] trajectory_id=159 hasta=79 doz=1.000 -> 17 kare, truncated=False
  [159/1560] trajectory_id=157 hasta=78 doz=1.000 -> 17 kare, truncated=False
  [160/1560] trajectory_id=160 hasta=80 doz=0.100 -> 17 kare, truncated=False
  [161/1560] trajectory_id=158 hasta=79 doz=0.100 -> 17 kare, truncated=False
  [162/1560] trajectory_id=161 hasta=80 doz=1.000 -> 17 kare, truncated=False
  [163/1560] trajectory_id=162 hasta=81 doz=0.100 -> 17 kare, truncated=False
  [164/1560] trajectory_id=163 hasta=81 doz=1.000 -> 17 kare, truncated=False
  [165/1560] trajectory_id=164 hasta=82 doz=0.100 -> 17 kare, truncated=False
  [166/1560] trajectory_id=165 hasta=82 doz=1.000 -> 17 kare, truncated=False
  [167/1560] trajectory_id=166 hasta=83 doz=0.100 -> 17 kare, truncated=False
  [168/1560] trajectory_id=167 hasta=83 doz=1.000 -> 17 kare, truncated=False
  [169/1560] trajectory_id=168 hasta=84 doz=0.100 -> 17 kare, truncated=False
  [170/1560] trajectory_id=169 hasta=84 doz=1.000 -> 17 kare, truncated=False
  [171/1560] trajectory_id=170 hasta=85 doz=0.100 -> 17 kare, truncated=False
  [172/1560] trajectory_id=171 hasta=85 doz=1.000 -> 17 kare, truncated=False
  [173/1560] trajectory_id=172 hasta=86 doz=0.100 -> 17 kare, truncated=False
  [174/1560] trajectory_id=173 hasta=86 doz=1.000 -> 17 kare, truncated=False
  [175/1560] trajectory_id=174 hasta=87 doz=0.100 -> 17 kare, truncated=False
  [176/1560] trajectory_id=176 hasta=88 doz=0.100 -> 17 kare, truncated=False
  [177/1560] trajectory_id=175 hasta=87 doz=1.000 -> 17 kare, truncated=False
  [178/1560] trajectory_id=177 hasta=88 doz=1.000 -> 17 kare, truncated=False
  [179/1560] trajectory_id=178 hasta=89 doz=0.100 -> 17 kare, truncated=False
  [180/1560] trajectory_id=179 hasta=89 doz=1.000 -> 17 kare, truncated=False
  [181/1560] trajectory_id=180 hasta=90 doz=0.100 -> 17 kare, truncated=False
  [182/1560] trajectory_id=181 hasta=90 doz=1.000 -> 17 kare, truncated=False
  [183/1560] trajectory_id=182 hasta=91 doz=0.100 -> 17 kare, truncated=False
  [184/1560] trajectory_id=183 hasta=91 doz=1.000 -> 17 kare, truncated=False
  [185/1560] trajectory_id=184 hasta=92 doz=0.100 -> 17 kare, truncated=False
  [186/1560] trajectory_id=185 hasta=92 doz=1.000 -> 17 kare, truncated=False
  [187/1560] trajectory_id=186 hasta=93 doz=0.100 -> 17 kare, truncated=False
  [188/1560] trajectory_id=189 hasta=94 doz=1.000 -> 17 kare, truncated=False
  [189/1560] trajectory_id=190 hasta=95 doz=0.100 -> 17 kare, truncated=False
  [190/1560] trajectory_id=187 hasta=93 doz=1.000 -> 17 kare, truncated=False
  [191/1560] trajectory_id=188 hasta=94 doz=0.100 -> 17 kare, truncated=False
  [192/1560] trajectory_id=191 hasta=95 doz=1.000 -> 17 kare, truncated=False
  [193/1560] trajectory_id=192 hasta=96 doz=0.100 -> 17 kare, truncated=False
  [194/1560] trajectory_id=193 hasta=96 doz=1.000 -> 17 kare, truncated=False
  [195/1560] trajectory_id=196 hasta=98 doz=0.100 -> 17 kare, truncated=False
  [196/1560] trajectory_id=195 hasta=97 doz=1.000 -> 17 kare, truncated=False
  [197/1560] trajectory_id=194 hasta=97 doz=0.100 -> 17 kare, truncated=False
  [198/1560] trajectory_id=197 hasta=98 doz=1.000 -> 17 kare, truncated=False
  [199/1560] trajectory_id=198 hasta=99 doz=0.100 -> 17 kare, truncated=False
  [200/1560] trajectory_id=199 hasta=99 doz=1.000 -> 17 kare, truncated=False
[2026-07-30 21:23:29] 200/1560 trajectory tamamlandý (geçen süre 48.4 dk, tahmini kalan süre 329.0 dk)
  [201/1560] trajectory_id=200 hasta=100 doz=0.100 -> 17 kare, truncated=False
  [202/1560] trajectory_id=202 hasta=101 doz=0.100 -> 17 kare, truncated=False
  [203/1560] trajectory_id=201 hasta=100 doz=1.000 -> 17 kare, truncated=False
  [204/1560] trajectory_id=203 hasta=101 doz=1.000 -> 17 kare, truncated=False
  [205/1560] trajectory_id=205 hasta=102 doz=1.000 -> 17 kare, truncated=False
  [206/1560] trajectory_id=204 hasta=102 doz=0.100 -> 17 kare, truncated=False
  [207/1560] trajectory_id=206 hasta=103 doz=0.100 -> 17 kare, truncated=False
  [208/1560] trajectory_id=207 hasta=103 doz=1.000 -> 17 kare, truncated=False
  [209/1560] trajectory_id=208 hasta=104 doz=0.100 -> 17 kare, truncated=False
  [210/1560] trajectory_id=209 hasta=104 doz=1.000 -> 17 kare, truncated=False
  [211/1560] trajectory_id=210 hasta=105 doz=0.100 -> 17 kare, truncated=False
  [212/1560] trajectory_id=211 hasta=105 doz=1.000 -> 17 kare, truncated=False
  [213/1560] trajectory_id=214 hasta=107 doz=0.100 -> 17 kare, truncated=False
  [214/1560] trajectory_id=213 hasta=106 doz=1.000 -> 17 kare, truncated=False
  [215/1560] trajectory_id=212 hasta=106 doz=0.100 -> 17 kare, truncated=False
  [216/1560] trajectory_id=215 hasta=107 doz=1.000 -> 17 kare, truncated=False
  [217/1560] trajectory_id=217 hasta=108 doz=1.000 -> 17 kare, truncated=False
  [218/1560] trajectory_id=216 hasta=108 doz=0.100 -> 17 kare, truncated=False
  [219/1560] trajectory_id=218 hasta=109 doz=0.100 -> 17 kare, truncated=False
  [220/1560] trajectory_id=219 hasta=109 doz=1.000 -> 17 kare, truncated=False
  [221/1560] trajectory_id=220 hasta=110 doz=0.100 -> 17 kare, truncated=False
  [222/1560] trajectory_id=221 hasta=110 doz=1.000 -> 17 kare, truncated=False
  [223/1560] trajectory_id=222 hasta=111 doz=0.100 -> 17 kare, truncated=False
  [224/1560] trajectory_id=223 hasta=111 doz=1.000 -> 17 kare, truncated=False
  [225/1560] trajectory_id=224 hasta=112 doz=0.100 -> 17 kare, truncated=False
  [226/1560] trajectory_id=225 hasta=112 doz=1.000 -> 17 kare, truncated=False
  [227/1560] trajectory_id=226 hasta=113 doz=0.100 -> 17 kare, truncated=False
  [228/1560] trajectory_id=227 hasta=113 doz=1.000 -> 17 kare, truncated=False
  [229/1560] trajectory_id=228 hasta=114 doz=0.100 -> 17 kare, truncated=False
  [230/1560] trajectory_id=229 hasta=114 doz=1.000 -> 17 kare, truncated=False
  [231/1560] trajectory_id=230 hasta=115 doz=0.100 -> 17 kare, truncated=False
  [232/1560] trajectory_id=231 hasta=115 doz=1.000 -> 17 kare, truncated=False
  [233/1560] trajectory_id=232 hasta=116 doz=0.100 -> 17 kare, truncated=False
  [234/1560] trajectory_id=233 hasta=116 doz=1.000 -> 17 kare, truncated=False
  [235/1560] trajectory_id=234 hasta=117 doz=0.100 -> 17 kare, truncated=False
  [236/1560] trajectory_id=235 hasta=117 doz=1.000 -> 17 kare, truncated=False
  [237/1560] trajectory_id=236 hasta=118 doz=0.100 -> 17 kare, truncated=False
  [238/1560] trajectory_id=237 hasta=118 doz=1.000 -> 17 kare, truncated=False
  [239/1560] trajectory_id=238 hasta=119 doz=0.100 -> 17 kare, truncated=False
  [240/1560] trajectory_id=239 hasta=119 doz=1.000 -> 17 kare, truncated=False
  [241/1560] trajectory_id=240 hasta=120 doz=0.100 -> 17 kare, truncated=False
  [242/1560] trajectory_id=242 hasta=121 doz=0.100 -> 17 kare, truncated=False
  [243/1560] trajectory_id=241 hasta=120 doz=1.000 -> 17 kare, truncated=False
  [244/1560] trajectory_id=243 hasta=121 doz=1.000 -> 17 kare, truncated=False
  [245/1560] trajectory_id=244 hasta=122 doz=0.100 -> 17 kare, truncated=False
  [246/1560] trajectory_id=245 hasta=122 doz=1.000 -> 17 kare, truncated=False
  [247/1560] trajectory_id=246 hasta=123 doz=0.100 -> 17 kare, truncated=False
  [248/1560] trajectory_id=247 hasta=123 doz=1.000 -> 17 kare, truncated=False
  [249/1560] trajectory_id=248 hasta=124 doz=0.100 -> 17 kare, truncated=False
  [250/1560] trajectory_id=249 hasta=124 doz=1.000 -> 17 kare, truncated=False
[2026-07-30 21:36:34] 250/1560 trajectory tamamlandý (geçen süre 61.5 dk, tahmini kalan süre 322.1 dk)
  [251/1560] trajectory_id=250 hasta=125 doz=0.100 -> 17 kare, truncated=False
  [252/1560] trajectory_id=251 hasta=125 doz=1.000 -> 17 kare, truncated=False
  [253/1560] trajectory_id=252 hasta=126 doz=0.100 -> 17 kare, truncated=False
  [254/1560] trajectory_id=253 hasta=126 doz=1.000 -> 17 kare, truncated=False
  [255/1560] trajectory_id=254 hasta=127 doz=0.100 -> 17 kare, truncated=False
  [256/1560] trajectory_id=255 hasta=127 doz=1.000 -> 17 kare, truncated=False
  [257/1560] trajectory_id=256 hasta=128 doz=0.100 -> 17 kare, truncated=False
  [258/1560] trajectory_id=257 hasta=128 doz=1.000 -> 17 kare, truncated=False
  [259/1560] trajectory_id=258 hasta=129 doz=0.100 -> 17 kare, truncated=False
  [260/1560] trajectory_id=260 hasta=130 doz=0.100 -> 17 kare, truncated=False
  [261/1560] trajectory_id=259 hasta=129 doz=1.000 -> 17 kare, truncated=False
  [262/1560] trajectory_id=261 hasta=130 doz=1.000 -> 17 kare, truncated=False
  [263/1560] trajectory_id=262 hasta=131 doz=0.100 -> 17 kare, truncated=False
  [264/1560] trajectory_id=263 hasta=131 doz=1.000 -> 17 kare, truncated=False
  [265/1560] trajectory_id=264 hasta=132 doz=0.100 -> 17 kare, truncated=False
  [266/1560] trajectory_id=265 hasta=132 doz=1.000 -> 17 kare, truncated=False
  [267/1560] trajectory_id=266 hasta=133 doz=0.100 -> 17 kare, truncated=False
  [268/1560] trajectory_id=267 hasta=133 doz=1.000 -> 17 kare, truncated=False
  [269/1560] trajectory_id=268 hasta=134 doz=0.100 -> 17 kare, truncated=False
  [270/1560] trajectory_id=269 hasta=134 doz=1.000 -> 17 kare, truncated=False
  [271/1560] trajectory_id=270 hasta=135 doz=0.100 -> 17 kare, truncated=False
  [272/1560] trajectory_id=271 hasta=135 doz=1.000 -> 17 kare, truncated=False
  [273/1560] trajectory_id=273 hasta=136 doz=1.000 -> 17 kare, truncated=False
  [274/1560] trajectory_id=272 hasta=136 doz=0.100 -> 17 kare, truncated=False
  [275/1560] trajectory_id=274 hasta=137 doz=0.100 -> 17 kare, truncated=False
  [276/1560] trajectory_id=275 hasta=137 doz=1.000 -> 17 kare, truncated=False
  [277/1560] trajectory_id=276 hasta=138 doz=0.100 -> 17 kare, truncated=False
  [278/1560] trajectory_id=277 hasta=138 doz=1.000 -> 17 kare, truncated=False
  [279/1560] trajectory_id=278 hasta=139 doz=0.100 -> 17 kare, truncated=False
  [280/1560] trajectory_id=279 hasta=139 doz=1.000 -> 17 kare, truncated=False
  [281/1560] trajectory_id=280 hasta=140 doz=0.100 -> 17 kare, truncated=False
  [282/1560] trajectory_id=281 hasta=140 doz=1.000 -> 17 kare, truncated=False
  [283/1560] trajectory_id=282 hasta=141 doz=0.100 -> 17 kare, truncated=False
  [284/1560] trajectory_id=283 hasta=141 doz=1.000 -> 17 kare, truncated=False
  [285/1560] trajectory_id=284 hasta=142 doz=0.100 -> 17 kare, truncated=False
  [286/1560] trajectory_id=285 hasta=142 doz=1.000 -> 17 kare, truncated=False
  [287/1560] trajectory_id=286 hasta=143 doz=0.100 -> 17 kare, truncated=False
  [288/1560] trajectory_id=288 hasta=144 doz=0.100 -> 17 kare, truncated=False
  [289/1560] trajectory_id=287 hasta=143 doz=1.000 -> 17 kare, truncated=False
  [290/1560] trajectory_id=289 hasta=144 doz=1.000 -> 17 kare, truncated=False
  [291/1560] trajectory_id=290 hasta=145 doz=0.100 -> 17 kare, truncated=False
  [292/1560] trajectory_id=291 hasta=145 doz=1.000 -> 17 kare, truncated=False
  [293/1560] trajectory_id=292 hasta=146 doz=0.100 -> 17 kare, truncated=False
  [294/1560] trajectory_id=293 hasta=146 doz=1.000 -> 17 kare, truncated=False
  [295/1560] trajectory_id=295 hasta=147 doz=1.000 -> 17 kare, truncated=False
  [296/1560] trajectory_id=294 hasta=147 doz=0.100 -> 17 kare, truncated=False
  [297/1560] trajectory_id=296 hasta=148 doz=0.100 -> 17 kare, truncated=False
  [298/1560] trajectory_id=297 hasta=148 doz=1.000 -> 17 kare, truncated=False
  [299/1560] trajectory_id=298 hasta=149 doz=0.100 -> 17 kare, truncated=False
  [300/1560] trajectory_id=299 hasta=149 doz=1.000 -> 17 kare, truncated=False
[2026-07-30 21:50:48] 300/1560 trajectory tamamlandý (geçen süre 75.7 dk, tahmini kalan süre 318.0 dk)
  [301/1560] trajectory_id=300 hasta=150 doz=0.100 -> 17 kare, truncated=False
  [302/1560] trajectory_id=301 hasta=150 doz=1.000 -> 17 kare, truncated=False
  [303/1560] trajectory_id=302 hasta=151 doz=0.100 -> 17 kare, truncated=False
  [304/1560] trajectory_id=303 hasta=151 doz=1.000 -> 17 kare, truncated=False
  [305/1560] trajectory_id=304 hasta=152 doz=0.100 -> 17 kare, truncated=False
  [306/1560] trajectory_id=305 hasta=152 doz=1.000 -> 17 kare, truncated=False
  [307/1560] trajectory_id=306 hasta=153 doz=0.100 -> 17 kare, truncated=False
  [308/1560] trajectory_id=307 hasta=153 doz=1.000 -> 17 kare, truncated=False
  [309/1560] trajectory_id=309 hasta=154 doz=1.000 -> 17 kare, truncated=False
  [310/1560] trajectory_id=308 hasta=154 doz=0.100 -> 17 kare, truncated=False
  [311/1560] trajectory_id=310 hasta=155 doz=0.100 -> 17 kare, truncated=False
  [312/1560] trajectory_id=311 hasta=155 doz=1.000 -> 17 kare, truncated=False
